郵便番号,住所,建物,種類
7692700,該当なし
7692703,該当なし
7692520,該当なし
7692902,該当なし
7692908,該当なし
7692513,該当なし
7692521,該当なし
7692512,該当なし
7692602,該当なし
7692906,該当なし
7692704,該当なし
7692905,該当なし
7692511,該当なし
7692519,該当なし
7692715,該当なし
7692904,該当なし
7692601,該当なし
7692705,該当なし
7692516,該当なし
7692605,該当なし
7692518,該当なし
7692604,該当なし
7692712,該当なし
7692714,該当なし
7692711,該当なし
7692901,該当なし
7692515,該当なし
7692514,該当なし
7692702,該当なし
7692606,該当なし
7692517,該当なし
7692701,該当なし
7692903,該当なし
7692603,該当なし
7692907,該当なし
7692713,該当なし
7670000,該当なし
7690401,該当なし
7690402,該当なし
7670014,該当なし
7670012,該当なし
7670001,該当なし
7670021,該当なし
7670013,該当なし
7670011,該当なし
7670002,該当なし
7670022,該当なし
7670004,該当なし
7670003,該当なし
7691108,該当なし
7691104,該当なし
7691103,該当なし
7691109,該当なし
7691101,該当なし
7691105,該当なし
7691107,該当なし
7691106,該当なし
7691102,該当なし
7691507,該当なし
7691502,該当なし
7691503,該当なし
7691504,該当なし
7691508,該当なし
7691501,該当なし
7691505,該当なし
